,1232
n_v_pron,0.0207939508506616
pron_n_v,0.0151228733459357
adp_pron_n,0.0075614366729678
adp_art_n,0.0075614366729678
v_pron_n,0.0151228733459357
n_adv_v,0.0056710775047258
n_adp_n,0.0189035916824196
art_n_v,0.0113421550094517
adv_v_pron,0.0094517958412098
v_pron_v,0.0170132325141776
n_pron_n,0.0075614366729678
n_n_v,0.0113421550094517
n_art_n,0.0132325141776937
v_art_n,0.0075614366729678
v_adv_v,0.0132325141776937
n_v_v,0.0151228733459357
n_conj_n,0.0113421550094517
pron_v_pron,0.0018903591682419
v_conj_pron,0.0113421550094517
n_pron_v,0.0037807183364839
art_n_n,0.0037807183364839
pron_adv_v,0.0207939508506616
v_adp_pron,0.0075614366729678
n_adp_pron,0.0018903591682419
n_conj_pron,0.0094517958412098
pron_n_n,0.0056710775047258
n_n_n,0.0075614366729678
v_adp_n,0.0132325141776937
n_v_adv,0.0075614366729678
pron_n_pron,0.0075614366729678
pron_v_v,0.0170132325141776
v_pron_adv,0.0094517958412098
art_n_adp,0.0075614366729678
pron_n_adv,
v_v_pron,0.0151228733459357
n_v_conj,0.0018903591682419
art_adj_n,0.0056710775047258
adv_v_v,0.0094517958412098
n_v_adp,0.0094517958412098
pron_v_adp,0.0037807183364839
adp_n_n,0.0075614366729678
v_pron_pron,0.0037807183364839
adp_n_v,0.0075614366729678
adv_v_adv,0.0094517958412098
conj_pron_v,0.0037807183364839
pron_v_adv,0.0018903591682419
adv_adv_v,0.0056710775047258
n_n_pron,
conj_pron_n,0.0056710775047258
pron_pron_v,0.0037807183364839
en ,0.0313499680102367
er ,0.009277031349968
et ,0.0063979526551503
"n, ",0.0041586692258477
"en,",0.0035188739603326
"t, ",0.0083173384516954
 de,0.0031989763275751
den,0.0047984644913627
an ,0.0047984644913627
de ,0.0015994881637875
 he,0.0041586692258477
ijn,0.0095969289827255
 ge,
ver,0.0054382597568777
een,0.1298701298701298
 ve,0.0047984644913627
at ,0.0047984644913627
oor,0.0022392834293026
n d,0.0025591810620601
aer,0.0041586692258477
 en,0.0015994881637875
jn ,0.0073576455534229
 da,0.0031989763275751
sch,0.0019193857965451
eer,0.0086580086580086
der,0.0028790786948176
ck ,0.0102367242482405
cht,0.0051183621241202
ie ,0.0028790786948176
 va,0.0022392834293026
", D",0.0047984644913627
 ee,0.0025591810620601
 be,0.0038387715930902
 me,0.000639795265515
nde,0.0028790786948176
 we,0.000639795265515
aar,
n s,0.0009596928982725
ten,0.0041586692258477
 in,0.0019193857965451
t d,0.0028790786948176
 di,0.0022392834293026
iet,0.0025591810620601
 mi,0.0041586692258477
in ,0.00127959053103
t g,0.0025591810620601
ghe,0.009916826615483
te ,0.00127959053103
 al,0.0022392834293026
 En,0.0009596928982725
de,0.0476190476190476
ik,0.1255411255411255
gij,0.0519480519480519
hij,0.0346320346320346
ne,0.0303030303030303
in,0.0173160173160173
mijn,0.0562770562770562
van,0.0303030303030303
het,0.0043290043290043
uw,
en,0.0259740259740259
zijn,0.0043290043290043
wij,
zij,0.0129870129870129
eten,
niet,0.0259740259740259
dat,0.0259740259740259
te,0.0129870129870129
met,
op,0.0086580086580086
die,0.0043290043290043
haar,0.0086580086580086
voor,
hebben,0.0519480519480519
zo,0.0086580086580086
al,0.0129870129870129
als,0.0086580086580086
aan,
et,
hoofd,0.0216450216450216
na,0.0043290043290043
tot,0.0086580086580086
ook,0.0043290043290043
door,0.0043290043290043
hier,0.0129870129870129
of,
hoe,
dan,
geen,0.0043290043290043
om,0.0043290043290043
nu,0.0086580086580086
wel,
ons,
haten,
deze,
wat,
dit,0.0043290043290043
bij,0.0043290043290043
