,1232
Karel van Mander,0.0962304736435695
C. J. Wits,-0.7834471874197251
Leenaert Clock,-0.7874530241869284
Hermanus van den Burg,-0.8070770869545718
Joan Ysermans,-0.8772174261457448
Hendrick Jansz. Prins,-0.9171376602139852
Justus de Harduwijn,-0.9615716655849694
Jan Jansz. Deutel,-0.9640941321207496
Frans vander Straten de jongere,-0.995544540354186
Zacharias Heyns,-1.002090712861926
Aegidius Haeffacker,-1.0134923324524905
Haerlem Soetendal,-1.015487755736148
Michiel Vlack,-1.029794484822608
Pieter Brughman,-1.0539416426465429
Guillaume Abrahams Ooijevaer,-1.0542424520091522
Jan Zoet,-1.0712639853197483
Pieter de Bisschop,-1.0758684530562337
Christianus de Placker,-1.0853515076287563
Boudewijn Jansen Wellens,-1.094389374463181
Jacobus Viverius,-1.1236465451312292
